Първенство,Сезон,Кръг,Дата,Домакин,Резултат,Гост,Назначения,Доклади,,Файл
БОГ София Юг,2025/2026,Кръг 1,14.09.2025 в 14:00,ФК РД СПОРТ (Мъже),4:3,ФА АРЕС КЛУБ - СОФИЯ (Мъже),Назначения,,,Е-АФЛ (1).xlsx
БОГ София Юг,2025/2026,Кръг 1,14.09.2025 в 14:00,ФК УРВИЧ (Мъже),2:4,ФК СПАРТА (Мъже),Назначения,,,Е-АФЛ (1).xlsx
БОГ София Юг,2025/2026,Кръг 1,14.09.2025 в 14:00,ФК СПОРТИСТ-ЛОЗЕН (Мъже),1:0,ФК ФУТБОЛНА АКАДЕМИЯ ГЕРМАН (Мъже),Назначения,,,Е-АФЛ (1).xlsx
БОГ София Юг,2025/2026,Кръг 1,14.09.2025 в 14:00,СФК ОРЛОВЕЦ - 2015 (Мъже),1:0,ФК СПАРТАК 2015 (Мъже),Назначения,,,Е-АФЛ (1).xlsx
БОГ София Юг,2025/2026,Кръг 1,14.09.2025 в 16:30,"УФК ""Ботев София"" (Мъже)",3:0,ФК РАЗВИТИЕ НА МЛАДИ ФУТБОЛИСТИ (Мъже),Назначения,,,Е-АФЛ (1).xlsx
БОГ София Юг,2025/2026,Кръг 2,22.09.2025 в 13:00,ФА АРЕС КЛУБ - СОФИЯ (Мъже),2:1,ФК РАЗВИТИЕ НА МЛАДИ ФУТБОЛИСТИ (Мъже),Назначения,,,Е-АФЛ (2).xlsx
БОГ София Юг,2025/2026,Кръг 2,22.09.2025 в 14:00,ФК СПАРТАК 2015 (Мъже),1:0,"УФК ""Ботев София"" (Мъже)",Назначения,,,Е-АФЛ (2).xlsx
БОГ София Юг,2025/2026,Кръг 2,22.09.2025 в 14:00,ФК ФУТБОЛНА АКАДЕМИЯ ГЕРМАН (Мъже),4:3,СФК ОРЛОВЕЦ - 2015 (Мъже),Назначения,,,Е-АФЛ (2).xlsx
БОГ София Юг,2025/2026,Кръг 2,22.09.2025 в 14:00,ФК СПАРТА (Мъже),0:3,ФК СПОРТИСТ-ЛОЗЕН (Мъже),Назначения,,,Е-АФЛ (2).xlsx
БОГ София Юг,2025/2026,Кръг 2,22.09.2025 в 14:00,ФК РД СПОРТ (Мъже),2:2,ФК УРВИЧ (Мъже),Назначения,,,Е-АФЛ (2).xlsx
БОГ София Юг,2025/2026,Кръг 3,28.09.2025 в 11:00,ФК РАЗВИТИЕ НА МЛАДИ ФУТБОЛИСТИ (Мъже),2:3,ФК СПАРТАК 2015 (Мъже),Назначения,,,Е-АФЛ (3).xlsx
БОГ София Юг,2025/2026,Кръг 3,28.09.2025 в 14:00,ФК СПОРТИСТ-ЛОЗЕН (Мъже),1:5,ФК РД СПОРТ (Мъже),Назначения,,,Е-АФЛ (3).xlsx
БОГ София Юг,2025/2026,Кръг 3,28.09.2025 в 14:00,СФК ОРЛОВЕЦ - 2015 (Мъже),3:2,ФК СПАРТА (Мъже),Назначения,,,Е-АФЛ (3).xlsx
БОГ София Юг,2025/2026,Кръг 3,28.09.2025 в 16:00,"УФК ""Ботев София"" (Мъже)",8:0,ФК ФУТБОЛНА АКАДЕМИЯ ГЕРМАН (Мъже),Назначения,,,Е-АФЛ (3).xlsx
БОГ София Юг,2025/2026,Кръг 3,28.09.2025 в 17:00,ФК УРВИЧ (Мъже),3:0,ФА АРЕС КЛУБ - СОФИЯ (Мъже),Назначения,,,Е-АФЛ (3).xlsx
БОГ София Юг,2025/2026,Кръг 4,05.10.2025 в 12:00,ФК СПАРТА (Мъже),0:4,"УФК ""Ботев София"" (Мъже)",Назначения,,,Е-АФЛ (4).xlsx
БОГ София Юг,2025/2026,Кръг 4,05.10.2025 в 12:30,ФА АРЕС КЛУБ - СОФИЯ (Мъже),4:1,ФК СПАРТАК 2015 (Мъже),Назначения,,,Е-АФЛ (4).xlsx
БОГ София Юг,2025/2026,Кръг 4,05.10.2025 в 13:00,ФК ФУТБОЛНА АКАДЕМИЯ ГЕРМАН (Мъже),7:3,ФК РАЗВИТИЕ НА МЛАДИ ФУТБОЛИСТИ (Мъже),Назначения,,,Е-АФЛ (4).xlsx
БОГ София Юг,2025/2026,Кръг 4,05.10.2025 в 13:00,ФК РД СПОРТ (Мъже),3:1,СФК ОРЛОВЕЦ - 2015 (Мъже),Назначения,,,Е-АФЛ (4).xlsx
БОГ София Юг,2025/2026,Кръг 4,05.10.2025 в 13:00,ФК УРВИЧ (Мъже),0:2,ФК СПОРТИСТ-ЛОЗЕН (Мъже),Назначения,,,Е-АФЛ (4).xlsx
БОГ София Юг,2025/2026,Кръг 5,12.10.2025 в 13:00,ФК СПОРТИСТ-ЛОЗЕН (Мъже),0:0,ФА АРЕС КЛУБ - СОФИЯ (Мъже),Назначения,,,Е-АФЛ (5).xlsx
БОГ София Юг,2025/2026,Кръг 5,12.10.2025 в 13:00,СФК ОРЛОВЕЦ - 2015 (Мъже),0:0,ФК УРВИЧ (Мъже),Назначения,,,Е-АФЛ (5).xlsx
БОГ София Юг,2025/2026,Кръг 5,12.10.2025 в 13:00,ФК РАЗВИТИЕ НА МЛАДИ ФУТБОЛИСТИ (Мъже),5:2,ФК СПАРТА (Мъже),Назначения,,,Е-АФЛ (5).xlsx
БОГ София Юг,2025/2026,Кръг 5,12.10.2025 в 13:30,ФК СПАРТАК 2015 (Мъже),1:1,ФК ФУТБОЛНА АКАДЕМИЯ ГЕРМАН (Мъже),Назначения,,,Е-АФЛ (5).xlsx
БОГ София Юг,2025/2026,Кръг 5,12.10.2025 в 16:00,"УФК ""Ботев София"" (Мъже)",2:0,ФК РД СПОРТ (Мъже),Назначения,,,Е-АФЛ (5).xlsx
БОГ София Юг,2025/2026,Кръг 6,19.10.2025 в 12:00,ФА АРЕС КЛУБ - СОФИЯ (Мъже),4:4,ФК ФУТБОЛНА АКАДЕМИЯ ГЕРМАН (Мъже),Назначения,,,Е-АФЛ (6).xlsx
БОГ София Юг,2025/2026,Кръг 6,19.10.2025 в 13:00,ФК СПАРТА (Мъже),1:1,ФК СПАРТАК 2015 (Мъже),Назначения,,,Е-АФЛ (6).xlsx
БОГ София Юг,2025/2026,Кръг 6,19.10.2025 в 13:00,ФК УРВИЧ (Мъже),0:3,"УФК ""Ботев София"" (Мъже)",Назначения,,,Е-АФЛ (6).xlsx
БОГ София Юг,2025/2026,Кръг 6,19.10.2025 в 13:00,ФК СПОРТИСТ-ЛОЗЕН (Мъже),4:3,СФК ОРЛОВЕЦ - 2015 (Мъже),Назначения,,,Е-АФЛ (6).xlsx
БОГ София Юг,2025/2026,Кръг 6,19.10.2025 в 20:30,ФК РД СПОРТ (Мъже),7:0,ФК РАЗВИТИЕ НА МЛАДИ ФУТБОЛИСТИ (Мъже),Назначения,,,Е-АФЛ (6).xlsx
БОГ София Юг,2025/2026,Кръг 7,26.10.2025 в 12:00,СФК ОРЛОВЕЦ - 2015 (Мъже),0:3,ФА АРЕС КЛУБ - СОФИЯ (Мъже),Назначения,,,Е-АФЛ (7).xlsx
БОГ София Юг,2025/2026,Кръг 7,26.10.2025 в 12:00,ФК СПАРТАК 2015 (Мъже),1:4,ФК РД СПОРТ (Мъже),Назначения,,,Е-АФЛ (7).xlsx
БОГ София Юг,2025/2026,Кръг 7,26.10.2025 в 12:00,ФК ФУТБОЛНА АКАДЕМИЯ ГЕРМАН (Мъже),9:1,ФК СПАРТА (Мъже),Назначения,,,Е-АФЛ (7).xlsx
БОГ София Юг,2025/2026,Кръг 7,26.10.2025 в 14:00,"УФК ""Ботев София"" (Мъже)",8:1,ФК СПОРТИСТ-ЛОЗЕН (Мъже),Назначения,,,Е-АФЛ (7).xlsx
БОГ София Юг,2025/2026,Кръг 7,26.10.2025 в 15:00,ФК РАЗВИТИЕ НА МЛАДИ ФУТБОЛИСТИ (Мъже),3:0,ФК УРВИЧ (Мъже),Назначения,,,Е-АФЛ (7).xlsx
БОГ София Юг,2025/2026,Кръг 8,01.11.2025 в 17:00,ФК РД СПОРТ (Мъже),10:0,ФК ФУТБОЛНА АКАДЕМИЯ ГЕРМАН (Мъже),Назначения,,,Е-АФЛ (8).xlsx
БОГ София Юг,2025/2026,Кръг 8,02.11.2025 в 14:00,ФК УРВИЧ (Мъже),2:7,ФК СПАРТАК 2015 (Мъже),Назначения,,,Е-АФЛ (8).xlsx
БОГ София Юг,2025/2026,Кръг 8,02.11.2025 в 14:00,ФК СПОРТИСТ-ЛОЗЕН (Мъже),4:0,ФК РАЗВИТИЕ НА МЛАДИ ФУТБОЛИСТИ (Мъже),Назначения,,,Е-АФЛ (8).xlsx
БОГ София Юг,2025/2026,Кръг 8,02.11.2025 в 14:00,СФК ОРЛОВЕЦ - 2015 (Мъже),0:2,"УФК ""Ботев София"" (Мъже)",Назначения,,,Е-АФЛ (8).xlsx
БОГ София Юг,2025/2026,Кръг 8,15.11.2025 в 13:00,ФА АРЕС КЛУБ - СОФИЯ (Мъже),3:1,ФК СПАРТА (Мъже),Назначения,,,Е-АФЛ (8).xlsx
БОГ София Юг,2025/2026,Кръг 9,08.11.2025 в 18:30,ФК РАЗВИТИЕ НА МЛАДИ ФУТБОЛИСТИ (Мъже),0:2,СФК ОРЛОВЕЦ - 2015 (Мъже),Назначения,,,Е-АФЛ (9).xlsx
БОГ София Юг,2025/2026,Кръг 9,09.11.2025 в 11:00,ФК СПАРТА (Мъже),0:8,ФК РД СПОРТ (Мъже),Назначения,,,Е-АФЛ (9).xlsx
БОГ София Юг,2025/2026,Кръг 9,09.11.2025 в 14:00,ФК СПАРТАК 2015 (Мъже),4:2,ФК СПОРТИСТ-ЛОЗЕН (Мъже),Назначения,,,Е-АФЛ (9).xlsx
